"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","1995",14.80474,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","1996",11.44894,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","1997",10.2062,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","1998",1.777678,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","1999",6.615053,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2000",2.34389,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2001",-0.6574365,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2002",-2.487346,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2003",13.11822,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2004",9.031675,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2005",16.37034,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2006",4.491409,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2007",5.58647,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2008",4.940311,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2009",7.716043,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2010",-10.1236,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2011",-3.739007,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2012",-10.31185,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2013",-2.648249,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2014",-2.426199,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2015",5.178397,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2016",-1.526129,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2017",-3.153041,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2018",-2.090652,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2019",4.219388,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2020",13.25112,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","1996",7.211654,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","1997",5.898536,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","1998",6.364786,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","1999",8.358167,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2000",10.07418,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2001",5.896155,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2002",7.077698,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2003",7.776968,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2004",7.095493,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2005",8.583223,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2006",8.990784,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2007",10.08265,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2008",9.776842,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2009",8.599269,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2010",6.559808,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2011",4.103763,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2012",5.292146,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2013",3.355457,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2014",4.485699,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2015",3.73807,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2016",4.857758,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2017",3.917822,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2018",3.873719,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2019",5.07655,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2020",10.38464,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2003",8.906698,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2004",5.521205,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2005",4.091912,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2006",5.137717,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2007",2.177044,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2008",2.399527,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2009",5.995832,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2010",7.994058,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2011",4.147701,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2012",7.030571,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2013",6.893122,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2014",7.165562,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2015",5.193346,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2016",5.120477,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2017",4.839975,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2018",4.79502,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2019",7.440731,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2002",-4.943256,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2003",-12.19495,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2004",-11.31421,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2005",-18.18028,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2006",-17.10688,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2007",-18.99586,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2008",-5.489177,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2009",11.02174,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2010",13.10242,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2011",7.913877,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2012",11.94921,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2013",7.566374,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2014",10.23872,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2015",8.86846,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2016",6.128661,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2017",4.847412,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2018",9.076439,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2019",9.270609,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2020",19.00515,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","1995",2.108498,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","1996",2.751871,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","1997",0.3411654,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","1998",3.696787,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","1999",2.332741,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2000",1.096827,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2001",-1.819158,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2002",3.367813,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2003",2.890066,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2004",1.359492,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2005",4.004301,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2006",-7.942488,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2007",-7.519296,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2008",-5.015577,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2009",0.0459187,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2010",-1.215937,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2011",-2.553812,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2012",-1.857136,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2013",-3.197534,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2014",0.2041385,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2015",0.3691537,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2016",-2.233526,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2017",-1.420578,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2018",-2.161207,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2019",0.5022624,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2020",4.568048,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","1995",10.19594,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","1996",2.654212,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","1997",2.494865,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","1998",3.223305,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","1999",2.076511,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2000",-2.597949,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2001",-0.6185626,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2002",-0.7322334,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2003",1.463459,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2004",-1.41913,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2005",-4.83985,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2006",-5.035743,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2007",-4.124832,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2008",-2.414202,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2009",4.100627,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2010",0.0166076,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2011",-3.748178,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2012",-2.900331,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2013",-1.806852,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2014",-2.515383,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2015",-3.946887,
