"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","HHWEALTH","TOT","PC_NDI","A","1995",264.1895,
"HUN","HHWEALTH","TOT","PC_NDI","A","1996",289.8627,
"HUN","HHWEALTH","TOT","PC_NDI","A","1997",306.5918,
"HUN","HHWEALTH","TOT","PC_NDI","A","1998",305.4271,
"HUN","HHWEALTH","TOT","PC_NDI","A","1999",325.9615,
"HUN","HHWEALTH","TOT","PC_NDI","A","2000",331.0537,
"HUN","HHWEALTH","TOT","PC_NDI","A","2001",322.6171,
"HUN","HHWEALTH","TOT","PC_NDI","A","2002",312.713,
"HUN","HHWEALTH","TOT","PC_NDI","A","2003",300.4218,
"HUN","HHWEALTH","TOT","PC_NDI","A","2004",290.0046,
"HUN","HHWEALTH","TOT","PC_NDI","A","2005",290.3378,
"HUN","HHWEALTH","TOT","PC_NDI","A","2006",303.8727,
"HUN","HHWEALTH","TOT","PC_NDI","A","2007",316.8001,
"HUN","HHWEALTH","TOT","PC_NDI","A","2008",311.3015,
"HUN","HHWEALTH","TOT","PC_NDI","A","2009",333.3477,
"HUN","HHWEALTH","TOT","PC_NDI","A","2010",335.4704,
"HUN","HHWEALTH","TOT","PC_NDI","A","2011",324.9447,
"HUN","HHWEALTH","TOT","PC_NDI","A","2012",339.2863,
"HUN","HHWEALTH","TOT","PC_NDI","A","2013",344.7742,
"HUN","HHWEALTH","TOT","PC_NDI","A","2014",352.0242,
"HUN","HHWEALTH","TOT","PC_NDI","A","2015",365.9821,
"HUN","HHWEALTH","TOT","PC_NDI","A","2016",370.7747,
"HUN","HHWEALTH","TOT","PC_NDI","A","2017",368.6092,
"HUN","HHWEALTH","TOT","PC_NDI","A","2018",365.568,
"HUN","HHWEALTH","TOT","PC_NDI","A","2019",368.5056,
"SVK","HHWEALTH","TOT","PC_NDI","A","1995",487.4337,
"SVK","HHWEALTH","TOT","PC_NDI","A","1996",438.2365,
"SVK","HHWEALTH","TOT","PC_NDI","A","1997",411.1461,
"SVK","HHWEALTH","TOT","PC_NDI","A","1998",394.8779,
"SVK","HHWEALTH","TOT","PC_NDI","A","1999",376.6545,
"SVK","HHWEALTH","TOT","PC_NDI","A","2000",364.1295,
"SVK","HHWEALTH","TOT","PC_NDI","A","2001",353.3061,
"SVK","HHWEALTH","TOT","PC_NDI","A","2002",320.5597,
"SVK","HHWEALTH","TOT","PC_NDI","A","2003",322.8451,
"SVK","HHWEALTH","TOT","PC_NDI","A","2004",312.9106,
"SVK","HHWEALTH","TOT","PC_NDI","A","2005",286.4735,
"SVK","HHWEALTH","TOT","PC_NDI","A","2006",299.7379,
"SVK","HHWEALTH","TOT","PC_NDI","A","2007",312.0525,
"SVK","HHWEALTH","TOT","PC_NDI","A","2008",312.3558,
"SVK","HHWEALTH","TOT","PC_NDI","A","2009",296.8549,
"SVK","HHWEALTH","TOT","PC_NDI","A","2010",292.7333,
"SVK","HHWEALTH","TOT","PC_NDI","A","2011",288.2348,
"SVK","HHWEALTH","TOT","PC_NDI","A","2012",284.9989,
"SVK","HHWEALTH","TOT","PC_NDI","A","2013",289.8797,
"SVK","HHWEALTH","TOT","PC_NDI","A","2014",292.0822,
"SVK","HHWEALTH","TOT","PC_NDI","A","2015",283.6498,
"SVK","HHWEALTH","TOT","PC_NDI","A","2016",284.1178,
"SVK","HHWEALTH","TOT","PC_NDI","A","2017",276.8233,
"SVK","HHWEALTH","TOT","PC_NDI","A","2018",262.2605,
"SVK","HHWEALTH","TOT","PC_NDI","A","2019",266.9925,
"SVK","HHWEALTH","TOT","PC_NDI","A","2020",271.3159,
"EST","HHWEALTH","TOT","PC_NDI","A","1995",460.4277,
"EST","HHWEALTH","TOT","PC_NDI","A","1996",483.7042,
"EST","HHWEALTH","TOT","PC_NDI","A","1997",465.8854,
"EST","HHWEALTH","TOT","PC_NDI","A","1998",414.217,
"EST","HHWEALTH","TOT","PC_NDI","A","1999",432.0445,
"EST","HHWEALTH","TOT","PC_NDI","A","2000",390.5592,
"EST","HHWEALTH","TOT","PC_NDI","A","2001",376.1158,
"EST","HHWEALTH","TOT","PC_NDI","A","2002",382.0811,
"EST","HHWEALTH","TOT","PC_NDI","A","2003",367.195,
"EST","HHWEALTH","TOT","PC_NDI","A","2004",360.3278,
"EST","HHWEALTH","TOT","PC_NDI","A","2005",321.1826,
"EST","HHWEALTH","TOT","PC_NDI","A","2006",292.884,
"EST","HHWEALTH","TOT","PC_NDI","A","2007",286.7571,
"EST","HHWEALTH","TOT","PC_NDI","A","2008",281.8183,
"EST","HHWEALTH","TOT","PC_NDI","A","2009",272.7921,
"EST","HHWEALTH","TOT","PC_NDI","A","2010",269.75,
"EST","HHWEALTH","TOT","PC_NDI","A","2011",270.96,
"EST","HHWEALTH","TOT","PC_NDI","A","2012",309.4561,
"EST","HHWEALTH","TOT","PC_NDI","A","2013",318.0012,
"EST","HHWEALTH","TOT","PC_NDI","A","2014",324.4949,
"EST","HHWEALTH","TOT","PC_NDI","A","2015",311.3029,
"EST","HHWEALTH","TOT","PC_NDI","A","2016",318.9956,
"EST","HHWEALTH","TOT","PC_NDI","A","2017",325.2847,
"EST","HHWEALTH","TOT","PC_NDI","A","2018",328.6084,
"EST","HHWEALTH","TOT","PC_NDI","A","2019",339.1868,
"CZE","HHWEALTH","TOT","PC_NDI","A","1995",351.1074,
"CZE","HHWEALTH","TOT","PC_NDI","A","1996",341.7422,
"CZE","HHWEALTH","TOT","PC_NDI","A","1997",347.3976,
"CZE","HHWEALTH","TOT","PC_NDI","A","1998",366.1152,
"CZE","HHWEALTH","TOT","PC_NDI","A","1999",365.2494,
"CZE","HHWEALTH","TOT","PC_NDI","A","2000",351.8439,
"CZE","HHWEALTH","TOT","PC_NDI","A","2001",350.0538,
"CZE","HHWEALTH","TOT","PC_NDI","A","2002",351.0174,
"CZE","HHWEALTH","TOT","PC_NDI","A","2003",315.0665,
"CZE","HHWEALTH","TOT","PC_NDI","A","2004",314.6728,
"CZE","HHWEALTH","TOT","PC_NDI","A","2005",310.8621,
"CZE","HHWEALTH","TOT","PC_NDI","A","2006",307.8925,
"CZE","HHWEALTH","TOT","PC_NDI","A","2007",324.3956,
"CZE","HHWEALTH","TOT","PC_NDI","A","2008",325.3851,
"CZE","HHWEALTH","TOT","PC_NDI","A","2009",321.2091,
"CZE","HHWEALTH","TOT","PC_NDI","A","2010",329.783,
"CZE","HHWEALTH","TOT","PC_NDI","A","2011",339.2083,
"CZE","HHWEALTH","TOT","PC_NDI","A","2012",346.1972,
"CZE","HHWEALTH","TOT","PC_NDI","A","2013",359.2237,
"CZE","HHWEALTH","TOT","PC_NDI","A","2014",358.3165,
"CZE","HHWEALTH","TOT","PC_NDI","A","2015",364.5428,
"CZE","HHWEALTH","TOT","PC_NDI","A","2016",371.966,
"CZE","HHWEALTH","TOT","PC_NDI","A","2017",360.7545,
"CZE","HHWEALTH","TOT","PC_NDI","A","2018",362.0995,
"CZE","HHWEALTH","TOT","PC_NDI","A","2019",367.7457,
"CZE","HHWEALTH","TOT","PC_NDI","A","2020",380.2915,
"AUS","HHWEALTH","TOT","PC_NDI","A","1995",316.4702,
"AUS","HHWEALTH","TOT","PC_NDI","A","1996",315.39,
"AUS","HHWEALTH","TOT","PC_NDI","A","1997",323.628,
"AUS","HHWEALTH","TOT","PC_NDI","A","1998",338.5252,
"AUS","HHWEALTH","TOT","PC_NDI","A","1999",353.2954,
"AUS","HHWEALTH","TOT","PC_NDI","A","2000",351.0237,
"AUS","HHWEALTH","TOT","PC_NDI","A","2001",348.166,
"AUS","HHWEALTH","TOT","PC_NDI","A","2002",350.6826,
"AUS","HHWEALTH","TOT","PC_NDI","A","2003",360.1162,
"AUS","HHWEALTH","TOT","PC_NDI","A","2004",377.2444,
"AUS","HHWEALTH","TOT","PC_NDI","A","2005",399.8609,
"AUS","HHWEALTH","TOT","PC_NDI","A","2006",406.925,
"AUS","HHWEALTH","TOT","PC_NDI","A","2007",405.2223,
"AUS","HHWEALTH","TOT","PC_NDI","A","2008",328.8462,
"AUS","HHWEALTH","TOT","PC_NDI","A","2009",358.1556,
"AUS","HHWEALTH","TOT","PC_NDI","A","2010",342.8785,
"AUS","HHWEALTH","TOT","PC_NDI","A","2011",317.4614,
"AUS","HHWEALTH","TOT","PC_NDI","A","2012",352.1392,
"AUS","HHWEALTH","TOT","PC_NDI","A","2013",361.5013,
"AUS","HHWEALTH","TOT","PC_NDI","A","2014",378.1945,
"AUS","HHWEALTH","TOT","PC_NDI","A","2015",397.1843,
"AUS","HHWEALTH","TOT","PC_NDI","A","2016",422.8952,
"AUS","HHWEALTH","TOT","PC_NDI","A","2017",433.2375,
"AUS","HHWEALTH","TOT","PC_NDI","A","2018",423.7783,
"AUS","HHWEALTH","TOT","PC_NDI","A","2019",454.5869,
"AUS","HHWEALTH","TOT","PC_NDI","A","2020",460.4283,
"SVN","HHWEALTH","TOT","PC_NDI","A","1995",309.9673,
"SVN","HHWEALTH","TOT","PC_NDI","A","1996",307.588,
"SVN","HHWEALTH","TOT","PC_NDI","A","1997",295.9495,
"SVN","HHWEALTH","TOT","PC_NDI","A","1998",298.3576,
"SVN","HHWEALTH","TOT","PC_NDI","A","1999",288.4484,
"SVN","HHWEALTH","TOT","PC_NDI","A","2000",279.7703,
"SVN","HHWEALTH","TOT","PC_NDI","A","2001",286.8105,
"SVN","HHWEALTH","TOT","PC_NDI","A","2002",287.8691,
"SVN","HHWEALTH","TOT","PC_NDI","A","2003",295.2319,
"SVN","HHWEALTH","TOT","PC_NDI","A","2004",310.5447,
"SVN","HHWEALTH","TOT","PC_NDI","A","2005",307.9318,
"SVN","HHWEALTH","TOT","PC_NDI","A","2006",314.3541,
"SVN","HHWEALTH","TOT","PC_NDI","A","2007",312.2315,
